-2.22e-05	5.4638e+05
-2.218e-05	915.43
-2.216e-05	1553.1
-2.214e-05	1323
-2.212e-05	1761.3
-2.21e-05	997.39
-2.208e-05	1455.3
-2.206e-05	2499.3
-2.204e-05	3848
-2.202e-05	7533.8
-2.2e-05	3.6684e+05
-2.198e-05	7844.2
-2.196e-05	3877.6
-2.194e-05	2875.8
-2.192e-05	1950.6
-2.19e-05	2036.3
-2.188e-05	1662.2
-2.186e-05	2018.7
-2.184e-05	1849.8
-2.182e-05	2285.1
-2.18e-05	35686
-2.178e-05	663.68
-2.176e-05	444.41
-2.174e-05	785.97
-2.172e-05	869.37
-2.17e-05	409.14
-2.168e-05	1888.4
-2.166e-05	1963.8
-2.164e-05	2892.9
-2.162e-05	5590
-2.16e-05	1.0599e+05
-2.158e-05	7215.8
-2.156e-05	3714.7
-2.154e-05	2546
-2.152e-05	2264.7
-2.15e-05	1951.6
-2.148e-05	1739.1
-2.146e-05	1956
-2.144e-05	2285.7
-2.142e-05	3610.7
-2.14e-05	36973
-2.138e-05	3079.8
-2.136e-05	1271.4
-2.134e-05	851.25
-2.132e-05	741.28
-2.13e-05	1045.3
-2.128e-05	802.99
-2.126e-05	1269.5
-2.124e-05	2288.8
-2.122e-05	4288.9
-2.12e-05	48841
-2.118e-05	5545.7
-2.116e-05	3114.7
-2.114e-05	2335.3
-2.112e-05	2134.8
-2.11e-05	1713.1
-2.108e-05	1567.7
-2.106e-05	2117
-2.104e-05	2773.8
-2.102e-05	4368.3
-2.1e-05	37434
-2.098e-05	4885.2
-2.096e-05	2351.8
-2.094e-05	1834.9
-2.092e-05	1317
-2.09e-05	1209.2
-2.088e-05	1300.5
-2.086e-05	1503.7
-2.084e-05	2131.4
-2.082e-05	3229.7
-2.08e-05	28766
-2.078e-05	4897.8
-2.076e-05	2570.3
-2.074e-05	1930.8
-2.072e-05	1903
-2.07e-05	1499.7
-2.068e-05	2133.7
-2.066e-05	2458
-2.064e-05	3059.9
-2.062e-05	4999.2
-2.06e-05	36045
-2.058e-05	7304.8
-2.056e-05	3375.1
-2.054e-05	2223.7
-2.052e-05	2100.9
-2.05e-05	1700.8
-2.048e-05	1859
-2.046e-05	1946.6
-2.044e-05	2377.9
-2.042e-05	4192.1
-2.04e-05	26036
-2.038e-05	5937
-2.036e-05	2666.9
-2.034e-05	1835.4
-2.032e-05	1824
-2.03e-05	1279.5
-2.028e-05	1721.6
-2.026e-05	1955.8
-2.024e-05	3045.4
-2.022e-05	5133.7
-2.02e-05	31012
-2.018e-05	8961.2
-2.016e-05	4135.6
-2.014e-05	2881.9
-2.012e-05	2437.2
-2.01e-05	2556.1
-2.008e-05	2207.1
-2.006e-05	2735.8
-2.004e-05	3467
-2.002e-05	6229.1
-2e-05	31954
-1.998e-05	9581
-1.996e-05	4475.7
-1.994e-05	2728.4
-1.992e-05	2624.8
-1.99e-05	1928.5
-1.988e-05	2380.6
-1.986e-05	2829.7
-1.984e-05	3542.1
-1.982e-05	6190.6
-1.98e-05	30837
-1.978e-05	10666
-1.976e-05	4833.4
-1.974e-05	3519.1
-1.972e-05	2782.1
-1.97e-05	2587.2
-1.968e-05	2615.4
-1.966e-05	3683
-1.964e-05	4266.1
-1.962e-05	7594.2
-1.96e-05	33607
-1.958e-05	12014
-1.956e-05	4972.4
-1.954e-05	3776.5
-1.952e-05	3327.4
-1.95e-05	2344.9
-1.948e-05	2733.3
-1.946e-05	3269.4
-1.944e-05	3582.7
-1.942e-05	6386.7
-1.94e-05	26221
-1.938e-05	10835
-1.936e-05	4198.7
-1.934e-05	2886.3
-1.932e-05	3054
-1.93e-05	2308.1
-1.928e-05	2160.3
-1.926e-05	2360.5
-1.924e-05	2753.2
-1.922e-05	5062.2
-1.92e-05	21532
-1.918e-05	9862.8
-1.916e-05	3772.4
-1.914e-05	2916.4
-1.912e-05	2377.7
-1.91e-05	2398.4
-1.908e-05	1883.7
-1.906e-05	2439.2
-1.904e-05	2830.3
-1.902e-05	4942.1
-1.9e-05	19485
-1.898e-05	9094.9
-1.896e-05	4074.8
-1.894e-05	2498.4
-1.892e-05	2250
-1.89e-05	1865
-1.888e-05	1314.6
-1.886e-05	1208.2
-1.884e-05	1675.5
-1.882e-05	2948.8
-1.88e-05	10560
-1.878e-05	5929.2
-1.876e-05	2211.8
-1.874e-05	1714.5
-1.872e-05	1527.7
-1.87e-05	1511.6
-1.868e-05	1629.1
-1.866e-05	1077.8
-1.864e-05	2085
-1.862e-05	3589.4
-1.86e-05	12865
-1.858e-05	7785.6
-1.856e-05	2629
-1.854e-05	1911.7
-1.852e-05	1675.3
-1.85e-05	1194.3
-1.848e-05	1427.7
-1.846e-05	1421.3
-1.844e-05	1516.4
-1.842e-05	1964.7
-1.84e-05	6325.9
-1.838e-05	3991.3
-1.836e-05	1296.5
-1.834e-05	616.97
-1.832e-05	697.87
-1.83e-05	850.98
-1.828e-05	496.24
-1.826e-05	1443.2
-1.824e-05	1563.8
-1.822e-05	2557.3
-1.82e-05	8186.3
-1.818e-05	5880
-1.816e-05	1579.8
-1.814e-05	1551.2
-1.812e-05	1241.2
-1.81e-05	913.18
-1.808e-05	898.2
-1.806e-05	720.77
-1.804e-05	1107.7
-1.802e-05	1572.2
-1.8e-05	4369.5
-1.798e-05	2686.4
-1.796e-05	879.63
-1.794e-05	373.21
-1.792e-05	339.95
-1.79e-05	813.72
-1.788e-05	707.13
-1.786e-05	739.41
-1.784e-05	1298.9
-1.782e-05	1361.7
-1.78e-05	4774
-1.778e-05	3879.2
-1.776e-05	1626.7
-1.774e-05	1107
-1.772e-05	912.97
-1.77e-05	501.09
-1.768e-05	835.33
-1.766e-05	760.16
-1.764e-05	561.43
-1.762e-05	901.03
-1.76e-05	3007.7
-1.758e-05	2178.7
-1.756e-05	655.65
-1.754e-05	727.54
-1.752e-05	469.17
-1.75e-05	218.87
-1.748e-05	139.05
-1.746e-05	662.12
-1.744e-05	621.53
-1.742e-05	959.79
-1.74e-05	2580.3
-1.738e-05	2912.2
-1.736e-05	1261.6
-1.734e-05	588.06
-1.732e-05	886.87
-1.73e-05	265.97
-1.728e-05	431.63
-1.726e-05	361.42
-1.724e-05	838.2
-1.722e-05	397.44
-1.72e-05	2347.8
-1.718e-05	2431.8
-1.716e-05	1084.9
-1.714e-05	426.19
-1.712e-05	328.4
-1.71e-05	152.49
-1.708e-05	550.48
-1.706e-05	414.58
-1.704e-05	488.6
-1.702e-05	777.39
-1.7e-05	2387.5
-1.698e-05	2795.9
-1.696e-05	954.47
-1.694e-05	564.76
-1.692e-05	735.63
-1.69e-05	304.41
-1.688e-05	346.88
-1.686e-05	492.73
-1.684e-05	741.31
-1.682e-05	851.46
-1.68e-05	2302.5
-1.678e-05	2954.9
-1.676e-05	1182
-1.674e-05	1076.3
-1.672e-05	597.7
-1.67e-05	319.58
-1.668e-05	535.33
-1.666e-05	238.73
-1.664e-05	224.48
-1.662e-05	819.53
-1.66e-05	2098.7
-1.658e-05	3303.6
-1.656e-05	963.13
-1.654e-05	733.23
-1.652e-05	644.76
-1.65e-05	465.8
-1.648e-05	427.61
-1.646e-05	567.3
-1.644e-05	105.49
-1.642e-05	796.81
-1.64e-05	2020.3
-1.638e-05	3136.7
-1.636e-05	1000.3
-1.634e-05	757.75
-1.632e-05	782.63
-1.63e-05	452.17
-1.628e-05	359.92
-1.626e-05	594.75
-1.624e-05	798.03
-1.622e-05	1026.7
-1.62e-05	2106.9
-1.618e-05	3403.8
-1.616e-05	1059.2
-1.614e-05	640.47
-1.612e-05	496.32
-1.61e-05	381.33
-1.608e-05	78.328
-1.606e-05	124.54
-1.604e-05	370.44
-1.602e-05	955.61
-1.6e-05	1563.5
-1.598e-05	2939.7
-1.596e-05	642.66
-1.594e-05	317.97
-1.592e-05	484.9
-1.59e-05	132.47
-1.588e-05	351.02
-1.586e-05	150.02
-1.584e-05	530.21
-1.582e-05	509.42
-1.58e-05	1641.8
-1.578e-05	2742
-1.576e-05	994.57
-1.574e-05	409.07
-1.572e-05	399.23
-1.57e-05	371.94
-1.568e-05	261.57
-1.566e-05	552.82
-1.564e-05	1170.6
-1.562e-05	410.23
-1.56e-05	1542
-1.558e-05	2731.5
-1.556e-05	756.56
-1.554e-05	602.45
-1.552e-05	433.33
-1.55e-05	256.83
-1.548e-05	229.61
-1.546e-05	182.54
-1.544e-05	148.8
-1.542e-05	609.72
-1.54e-05	1023.9
-1.538e-05	2478.4
-1.536e-05	313.55
-1.534e-05	513.05
-1.532e-05	277.15
-1.53e-05	471.9
-1.528e-05	52.337
-1.526e-05	648.46
-1.524e-05	76.878
-1.522e-05	449.36
-1.52e-05	903.77
-1.518e-05	1981.8
-1.516e-05	871.12
-1.514e-05	560.98
-1.512e-05	70.271
-1.51e-05	293.59
-1.508e-05	364.31
-1.506e-05	201.3
-1.504e-05	96.171
-1.502e-05	441.76
-1.5e-05	810.75
-1.498e-05	1861.7
-1.496e-05	248.19
-1.494e-05	151.83
-1.492e-05	104.79
-1.49e-05	371.8
-1.488e-05	156.7
-1.486e-05	265.57
-1.484e-05	298.85
-1.482e-05	611.81
-1.48e-05	482.87
-1.478e-05	1734.1
-1.476e-05	254.95
-1.474e-05	96.029
-1.472e-05	311.05
-1.47e-05	286.58
-1.468e-05	211.56
-1.466e-05	114.13
-1.464e-05	268.2
-1.462e-05	843.53
-1.46e-05	754.87
-1.458e-05	1682.3
-1.456e-05	175.47
-1.454e-05	71.946
-1.452e-05	36.077
-1.45e-05	412.11
-1.448e-05	261.62
-1.446e-05	247.58
-1.444e-05	596.91
-1.442e-05	252.99
-1.44e-05	398.92
-1.438e-05	1467.7
-1.436e-05	157.49
-1.434e-05	167.45
-1.432e-05	88.87
-1.43e-05	245.52
-1.428e-05	228.95
-1.426e-05	343.17
-1.424e-05	572.17
-1.422e-05	291.75
-1.42e-05	283.6
-1.418e-05	1496.9
-1.416e-05	220.52
-1.414e-05	69.003
-1.412e-05	238.42
-1.41e-05	103.82
-1.408e-05	107.96
-1.406e-05	75.007
-1.404e-05	430.59
-1.402e-05	88.985
-1.4e-05	812.77
-1.398e-05	1713.3
-1.396e-05	470.46
-1.394e-05	147.63
-1.392e-05	481.03
-1.39e-05	187.17
-1.388e-05	173.5
-1.386e-05	225.3
-1.384e-05	58.626
-1.382e-05	157.62
-1.38e-05	430.2
-1.378e-05	1614.6
-1.376e-05	272.61
-1.374e-05	300.96
-1.372e-05	240.45
-1.37e-05	274.51
-1.368e-05	233.62
-1.366e-05	307.7
-1.364e-05	113.21
-1.362e-05	208.87
-1.36e-05	140.08
-1.358e-05	1628.5
-1.356e-05	191.5
-1.354e-05	130.91
-1.352e-05	491.05
-1.35e-05	386.86
-1.348e-05	190.46
-1.346e-05	262.38
-1.344e-05	135.47
-1.342e-05	231.75
-1.34e-05	292.57
-1.338e-05	974.6
-1.336e-05	51.788
-1.334e-05	53.421
-1.332e-05	551.89
-1.33e-05	225.36
-1.328e-05	165.09
-1.326e-05	98.688
-1.324e-05	435.01
-1.322e-05	418.85
-1.32e-05	536.24
-1.318e-05	1049.9
-1.316e-05	141.54
-1.314e-05	85.584
-1.312e-05	244.34
-1.31e-05	465.76
